news_id,label,href,sort_order
news_gi_sicherheit,Program,https://www.haw-hamburg.de/sicherheit2026/programm/donnerstag-190326/,1
news_prechi_london,Event,https://www.imperial.ac.uk/events/206881/cockney-chi-2026/,1
news_prechi_bristol,Event,https://south-west-uk-pre-chi.github.io/,1
news_muc_ac,Website,https://muc2026.mensch-und-computer.de/,1
news_pzai_colloquium,PZAI,https://www.pzai.de/en/about-us/the-pzai,1
news_doktoranden_2024,"LinkedIn Post",https://www.linkedin.com/posts/markus-sch%C3%A4fer_mercedesbenz-innovation-activity-7204404542233333760-aNBo/,1
news_mum_committee,Website,https://mum-conf.org/2026/index.php?web=committee,1
news_augmented_journeys,Paper,https://dl.acm.org/doi/10.1145/3706598.3714323,1
news_augmented_journeys,PDF,https://dl.acm.org/doi/pdf/10.1145/3706598.3714323,2
news_blending_worlds,Paper,https://dl.acm.org/doi/10.1145/3706598.3713185,1
news_blending_worlds,PDF,https://dl.acm.org/doi/pdf/10.1145/3706598.3713185,2
news_bumpy_ride,Paper,https://dl.acm.org/doi/10.1145/3706598.3714077,1
news_assessing_ar,Paper,https://dl.acm.org/doi/10.1145/3580585.3607152,1
news_assessing_ar,PDF,https://dl.acm.org/doi/pdf/10.1145/3580585.3607152,2
news_in_car_office,Paper,https://dl.acm.org/doi/10.1145/3581961.3609869,1